transaction_date,total_canceled_ahead_days,total_bookings,total_booked_ahead_days,cancelation_rate,seven_day_rolling_avg
2019-01-01,957,5605,97164,0.04032114183764496,0.04032114183764496
2019-01-02,2760,7934,143716,0.04499621880514242,0.042658680321393694
2019-01-03,3041,7919,114243,0.04773329965904786,0.044350220100611744
2019-01-04,3492,7892,136115,0.03497212366953877,0.042005695992843504
2019-01-05,1235,7869,244269,0.031770237641377555,0.039958604322550315
2019-01-06,491,5157,92356,0.03257707969749855,0.03872835021837502
2019-01-07,2885,5495,123398,0.03348498635122839,0.03797929823735407
2019-01-08,2069,5601,128913,0.031958578825209784,0.037226708310836035
2019-01-09,3467,5729,142721,0.03683016233199511,0.0367903358726298
2019-01-10,909,5636,126511,0.04098651525904897,0.036289122929368124
2019-01-11,1917,6114,112075,0.037945698397121363,0.03506567277162731
2019-01-12,865,6128,105036,0.04308093994778068,0.03607927480640755
2019-01-13,1137,4979,98033,0.022494476802570797,0.03491980470155671
2019-01-14,1388,5634,153197,0.03230386936457224,0.03488565340994092
2019-01-15,1970,5351,134352,0.03812371519342179,0.03546549451521509
2019-01-16,1207,5484,151170,0.03300510576221736,0.03559631038234104
2019-01-17,3290,5468,121917,0.04626920263350402,0.03677619042002965
2019-01-18,2583,6957,-583153,0.04067845335633175,0.03673768268219
2019-01-19,1395,6493,87318,0.036808871091945174,0.03659557926904298
2019-01-20,1050,4835,98034,0.041571871768355736,0.036406945746614856
2019-01-21,1988,5487,125839,0.04246400583196647,0.03890313687528932
2019-01-22,3045,4899,115915,0.039804041641151255,0.039840658409861694
2019-01-23,1551,4970,146603,0.04426559356136821,0.040608393205855
2019-01-24,2773,5206,113133,0.043987706492508646,0.04198121829714141
2019-01-25,2227,6028,127916,0.04031187790311878,0.041236552705843255
2019-01-26,1166,6167,99934,0.03826820171882601,0.040935271251155037
2019-01-27,1030,4686,111987,0.03051643192488263,0.040148716355272215
2019-01-28,2148,5034,133208,0.05025824394119984,0.04123451287687773
2019-01-29,2649,5213,138062,0.039516593132553235,0.04086608628945108
2019-01-30,-643,5226,111566,0.03654802908534252,0.04045908471997498
2019-01-31,1366,5401,125008,0.0372153304943529,0.03957780183659807
2019-02-01,3725,6302,133068,0.037448429070136464,0.038760392158801546
2019-02-02,1499,6785,94659,0.030950626381724394,0.03759023571862725
2019-02-03,1406,4937,102719,0.02855985416244683,0.03637669227407985
2019-02-04,4673,5460,144442,0.039926739926739924,0.03755298077431201
2019-02-05,4303,5926,154775,0.03442456969287884,0.035573771493271886
2019-02-06,1918,6160,122206,0.037987012987012986,0.03538257397507936
2019-02-07,2503,6199,93240,0.041135667043071464,0.035956028719795474
2019-02-08,2389,7095,117116,0.04186046511627907,0.036536670547536246
2019-02-09,1387,7197,108500,0.03570932332916493,0.036319282329914805
2019-02-10,1196,5409,109281,0.045110001848770565,0.038089204263295574
2019-02-11,6087,6222,179148,0.04934104789456766,0.04068685347981068
2019-02-12,-730461,6077,154477,0.05051834786901432,0.04201080447259498
2019-02-13,3624,6292,154734,0.049109980928162746,0.04384648087700547
2019-02-14,2636,6975,144285,0.04100358422939068,0.04422355228230268
2019-02-15,1865,7666,113861,0.0450039133837725,0.04470708307489031
2019-02-16,909,8612,103785,0.03344170924291686,0.043654738590720034
2019-02-17,1124,7130,117894,0.04249649368863955,0.04450313488565436
2019-02-18,2176,7226,131275,0.03404373097149183,0.04311985102599452
2019-02-19,5090,6454,122989,0.049891540130151846,0.04318866255544254
2019-02-20,3197,6323,130161,0.047603985449944645,0.04282436725305883
2019-02-21,3269,6627,120397,0.04300588501584427,0.042061355264019024
2019-02-22,3717,7397,111927,0.04609977017709883,0.042698378507482544
2019-02-23,1222,7336,100783,0.04198473282442748,0.042320980937564416
2019-02-24,619,6394,106981,0.03941194870190804,0.04306726086993831
2019-02-25,2260,6290,144758,0.037360890302066775,0.04242531044661672
